"","ietd","gi","volume","org_volume","volume_perc","q10","q90"
"69","2",8.8,130089.62472105,213934.912188477,39.1919610547523,36.5087046611255,42.911263366081
"70","2",8.9,129364.852905355,213934.912188477,39.5307425132256,36.8192992838117,43.2817780858385
"71","2",9,128673.971153339,213934.912188477,39.8536826752348,37.1149179368199,43.6424954702903
"72","2",9.1,127961.219633189,213934.912188477,40.1868454642621,37.4306947596023,43.9668319666394
"73","2",9.2,127239.58346802,213934.912188477,40.5241612196881,37.7304601805421,44.3496978887224
"74","2",9.3,126518.81787269,213934.912188477,40.8610700430106,38.0337547624658,44.6735884090184
"75","2",9.4,125810.565520559,213934.912188477,41.1921297774344,38.3657028853437,45.0356382040651
"76","2",9.5,125090.765496966,213934.912188477,41.5285872617362,38.6750220730339,45.3758999527541
"77","2",9.6,124441.891992409,213934.912188477,41.8318914293074,38.969694036008,45.6819278921581
"78","2",9.7,123732.550200445,213934.912188477,42.1634604026498,39.2587505000031,46.0505385273933
"79","2",9.8,123045.698584074,213934.912188477,42.4845167507441,39.5716480069587,46.4418090577153
"80","2",9.9,122367.81826568,213934.912188477,42.8013796280834,39.8713265687998,46.7948639844836
"81","2",10,121652.088481187,213934.912188477,43.1359345528364,40.170384725374,47.2122696982809
